Quill
Half full ink jar
Blank parchment
Platinum necklace
Blank velum
Signet ring
Candles
Gold torc
Wax
Iron arm ring
Ledger
Diary
Note
Gems
Secret message
Gold pieces
String
Copper pieces
Blank paper
Large book
Gold pieces
Straightedge
Small book
Silver pieces
Iron circlet
Leather pouch
Silk vest
Satin pouch
Governmental documents
Silk pouch
Iron torc
Gold arm ring
Ink blotter
Scribe's knife
Polished pebbles
Iron statuette
Silver bracelet
Satin vest
Iron bracelet
Silver pieces
Gold bracelet
Dagger
Jeweled dagger
Silver amulet
Letters
Sealed letter
Tinder box
Copper pieces
Wool scarf
Satin scarf
Gold statuette
Silk scarf
Leather gloves
Smoking pipe
Satin gloves
Short sword
Silk gloves
Gems
Silver arm ring
Wool cloak
Spyglass
Satin cloak
Flask of oil
Silk cloak
Blank volume
Writing pigments
Gold amulet
Antique book
Map
Protractor
Silver statuette
Jeweled short sword
Wool vest
Badge of office
Cargo lists
Caravan timetables
Silver circlet
Supply manifest
Silver pieces
Iron ring
Whetstone
Silver ring
Crystal
Gold ring
Magnifying glass
Gold pieces
Monocle
Copper ring
Long Bottom Leaf
Star chart
Platinum ring
Gold circlet
Secret map
Bead necklace
Silver torc
Spectacles
Silver necklace
Platinum pieces
Gold necklace
Gems
